Run,Seed,Model,Frames,Symbols,Errors,BER,Active_BER,Masked_MSE,PAPR_Reduction_dB,Mask_Ratio
8,9107,GatedMLP,10000,470000,504,1.0723404255e-03,1.0723404255e-03,1.2810077063e-01,4.111337,0.34120156
8,9107,SE-ResNet,10000,470000,552,1.1744680851e-03,1.1744680851e-03,1.3518678823e-01,4.111337,0.34120156
8,9107,PolyNet,10000,470000,444,9.4468085106e-04,9.4468085106e-04,1.0581267435e-01,4.111337,0.34120156
8,9107,PolyNet-Volterra,10000,470000,358,7.6170212766e-04,7.6170212766e-04,9.3892618937e-02,4.111337,0.34120156
9,9108,DNN,10000,470000,599,1.2744680851e-03,1.2744680851e-03,1.6104602824e-01,4.099486,0.34191250
9,9108,ResNet,10000,470000,435,9.2553191489e-04,9.2553191489e-04,1.4457697895e-01,4.099486,0.34191250
9,9108,GatedMLP,10000,470000,332,7.0638297872e-04,7.0638297872e-04,1.2848604338e-01,4.099486,0.34191250
9,9108,SE-ResNet,10000,470000,354,7.5319148936e-04,7.5319148936e-04,1.3563359644e-01,4.099486,0.34191250
9,9108,PolyNet,10000,470000,251,5.3404255319e-04,5.3404255319e-04,1.0600264110e-01,4.099486,0.34191250
9,9108,PolyNet-Volterra,10000,470000,199,4.2340425532e-04,4.2340425532e-04,9.3650105222e-02,4.099486,0.34191250
10,9109,DNN,10000,470000,363,7.7234042553e-04,7.7234042553e-04,1.5605209327e-01,4.104654,0.34095469
10,9109,ResNet,10000,470000,243,5.1702127660e-04,5.1702127660e-04,1.4008020618e-01,4.104654,0.34095469
10,9109,GatedMLP,10000,470000,165,3.5106382979e-04,3.5106382979e-04,1.2359015840e-01,4.104654,0.34095469
10,9109,SE-ResNet,10000,470000,193,4.1063829787e-04,4.1063829787e-04,1.3063108146e-01,4.104654,0.34095469
10,9109,PolyNet,10000,470000,123,2.6170212766e-04,2.6170212766e-04,1.0154651055e-01,4.104654,0.34095469
10,9109,PolyNet-Volterra,10000,470000,135,2.8723404255e-04,2.8723404255e-04,8.9722486363e-02,4.104654,0.34095469
